"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"026",0.643391726258157,-0.351134256943835,1.69765614604092,-0.416442243189467,2.22423157881514,1.80069597220121,1.3156221298846,-0.795808841648882,-0.414190714296502,-0.700303134703243,-0.731184195903721,-0.586446765270202,-0.778664953034899,-0.752131435826028,NA,-0.687646979076025,0.421683952180296,-0.521665116188042,-0.616898782451112,2.59614503060871,0.720078106617661,-0.585007627529663,-0.565227712783745,-0.60268338091266,-0.764409620511279,-0.213005365675206,-0.721563244223501,-0.028212098500965,-0.670301870759064,0.73096143889362,-0.647537742072274
"027",0.519314262606917,-0.559784391674246,2.55838935298479,-0.514689039229269,1.71190063331986,1.8460801789142,2.78674544456119,-0.570729107406833,-0.219943252876842,-0.652702282070627,-0.582159604989756,-0.290763369802386,-0.497832390205137,-0.630675896981638,-0.278045682705202,-0.695403700171809,-0.343928202583765,-0.316102303532193,-0.534290447009528,1.15477039241909,-0.349878830654608,-0.710570280940241,-0.710570280940241,-0.237880426836983,-0.672879773686029,-0.560131212342216,-0.710570280940241,-0.130148231185945,-0.393543294750777,1.13891921471981,-0.55289719600935
"028",0.240774586627262,-0.515938449590165,1.93622878299681,-0.353607636550034,1.92698050150935,1.75685982976887,1.2425617236806,-0.745028020734643,-0.470177068821765,-0.65070679491047,-0.644819279527987,-0.467016523220853,-0.688264330450373,-0.700810999332128,NA,-0.613189501411462,0.246319765639436,-0.600187563753974,-0.625282680653472,2.93284588605067,0.831128278496256,-0.521562117255629,-0.51178656888773,-0.56822870367631,-0.734023501669543,-0.163428989086246,-0.671200545675341,-0.15725802585451,-0.592560452418578,0.620312256175079,-0.738933857463121
"029",0.923059346262972,-0.308267779988527,1.96874582388374,-0.32302447899468,2.31110304366309,2.03806740757607,1.66188439140653,-0.841371474144732,-0.352944939726472,-0.704632897606038,-0.781775436718468,-0.635893069207889,-0.761727470684476,-0.79482506320974,NA,-0.688607502947516,0.454311125543226,-0.504440325908436,-0.735134799679466,1.40219194587337,0.797525447881941,-0.568885132829027,-0.57340058110619,-0.651256554414451,-0.82246568633226,-0.200383692396797,-0.718513985978403,-0.0840892904333073,-0.675046842802884,0.920098031090515,-0.750299558071676
"030",0.230517379940318,-0.610279444986075,2.5233649471481,-0.444114004797035,1.74144134807284,1.9221611709649,2.4956315732093,-0.679379644803275,-0.269982462338897,-0.71751762661625,-0.587480918861495,-0.266560438416909,-0.664416961737467,-0.67292796275964,0.231036606803031,-0.697340972409487,-0.371361484104628,-0.208206933097083,-0.333275934619757,1.41581467490263,-0.355944242400744,-0.741581257624533,-0.637793193402488,-0.389306297451129,-0.711135539648796,-0.531665225596608,-0.749320985974211,-0.0610259831381038,-0.588669705714244,1.27487609817522,-0.545556578717484
"031",0.620266231166663,-0.584651533720957,2.39070643180145,-0.307597110887772,3.04343114631477,1.9487178735283,1.4152755928253,-0.588838524307248,-0.206779366035584,-0.660886785263866,-0.550542061655737,-0.364914965278205,-0.591436032168846,-0.532689292232246,-0.258058001399943,-0.737942612574717,-0.418182208898294,-0.447176256337744,-0.53636456795967,1.20810003855158,0.0677836466859483,-0.601065508645006,-0.648696960704848,-0.452053327071517,-0.622205729954839,-0.593318895613452,-0.590646870081593,-0.275285432119178,-0.598367606476638,0.993730870050321,-0.520312181536423
"033",0.467930809243065,-0.587579562708165,2.95524077462801,-0.366650920609176,1.75069548722228,2.10800300466036,2.48580045922683,-0.563618677500513,-0.327421360728262,-0.633429824815022,-0.582094345521805,-0.318552388524697,-0.456608342458434,-0.575426200546527,-0.170530840366661,-0.659087715214654,-0.304288187754251,-0.344368677838106,-0.537521480700692,0.834637466848172,-0.298285779273561,-0.675839677041382,-0.654997617146152,-0.320745644311264,-0.651229467740186,-0.560182770045155,-0.675839677041382,-0.168661417008089,-0.434464022987856,0.799349505623032,-0.53423290956976
"034",0.489491977191712,-0.591726974442973,2.51355747036495,-0.521150877170376,1.73594687332889,1.90542625953124,2.80750624498258,-0.56567951349136,-0.342544219809163,-0.637110988713608,-0.57863012326206,-0.242678203403901,-0.494951305277796,-0.626891248029426,-0.174647068525434,-0.687430817548181,-0.301705122472791,-0.308896891422026,-0.508583313140857,1.05952209042941,-0.337873646808645,-0.708971971239945,-0.694562218172922,-0.365184475971789,-0.664098024098282,-0.567382620072919,-0.708971971239945,-0.12951445696157,-0.417768222303953,1.180646624738,-0.515143266986864
"035",0.0461985088661939,-0.531563631183496,2.31901686687131,-0.416497478652308,3.05749862560322,2.0094470212521,1.73705651412327,-0.721456540361215,0.527921887020077,-0.738830445568323,-0.64276186368467,-0.458295236068413,-0.772998689740364,-0.639672169845094,-0.238104979070272,-0.605848144377186,-0.0578234469174991,-0.557670395744886,-0.197531122798995,0.392069091196688,0.669558331176244,-0.772998689740364,-0.74660068721042,-0.0456171295958668,-0.772998689740364,-0.470254183060141,-0.772998689740364,-0.168797023599973,-0.424414775786541,0.556286925734756,-0.56131975935711
"036",0.0958921661178515,-0.512496318708043,2.54601567247634,-0.106336129242701,1.43956000622238,1.49313538656947,2.14579420049811,-0.720666463737071,-0.166509108378508,-0.829894686655803,-0.6023023765742,0.106538941782017,-0.681495175023404,-0.854213571096214,-0.180088899802648,-0.732015991865218,-0.386331345295119,-0.23496338787364,-0.504588127282001,1.99107226457371,0.671182283302898,-0.907545981930322,-0.832222880591172,-0.279709730295241,-0.921038915814994,-0.559990302180856,-0.949263646657809,-0.135390027375826,-0.293988774503045,1.42900754466057,-0.527146625319526
"038",0.283051262380138,-0.531442289240322,3.16978513504837,-0.256296985192918,1.99722440374616,2.56942996183259,1.58015541581022,-0.67219113441155,-0.306045276956445,-0.616677634783841,-0.675091074426375,-0.328333043353561,-0.56701220889645,-0.653605904152882,-0.364104406368975,-0.531427575740635,-0.335336755881717,-0.515625822636715,-0.544440785772884,0.638097383338902,0.509966223604649,-0.502336539953379,-0.64082438595259,-0.304591914559495,-0.73328112626307,-0.462396505462976,-0.388400359669547,-0.320110078695137,-0.325940377331853,0.442945823485679,-0.615143423543392
"039",0.227739585713937,-0.491327279296961,2.88239745972805,0.255856231761834,1.70932781562267,2.25810713986376,1.24243721850621,-0.790400937371137,-0.272617084020997,-0.745435532159962,-0.614796347661753,-0.292801324695292,-0.240677027191424,-0.641718862605666,-0.0371757130826561,-0.770462253682999,-0.17023039691108,-0.568202525433456,-0.603611706895021,1.93473273805221,0.883548500604859,-0.790807081387917,-0.706693494854986,-0.397013156956125,-0.816195010455653,-0.418995918824029,-0.832841686152587,-0.191084139089213,-0.555512498033017,0.268774024200482,-0.714320737292086
